dec,hex,name
48,0030H,Group (upper)
49,0031H,Group (lower)
124,007CH,Driver input command (upper)
125,007DH,Driver input command (lower)
126,007EH,Driver output command (upper)
127,007FH,Driver output command (lower)
128,0080H,Present alarm (upper)
129,0081H,Present alarm (lower)
130,0082H,Alarm record 1 (upper)
131,0083H,Alarm record 1 (lower)
132,0084H,Alarm record 2 (upper)
133,0085H,Alarm record 2 (lower)
134,0086H,Alarm record 3 (upper)
135,0087H,Alarm record 3 (lower)
136,0088H,Alarm record 4 (upper)
137,0089H,Alarm record 4 (lower)
138,008AH,Alarm record 5 (upper)
139,008BH,Alarm record 5 (lower)
140,008CH,Alarm record 6 (upper)
141,008DH,Alarm record 6 (lower)
142,008EH,Alarm record 7 (upper)
143,008FH,Alarm record 7 (lower)
144,0090H,Alarm record 8 (upper)
145,0091H,Alarm record 8 (lower)
146,0092H,Alarm record 9 (upper)
147,0093H,Alarm record 9 (lower)
148,0094H,Alarm record 10 (upper)
149,0095H,Alarm record 10 (lower)
150,0096H,Present warning (upper)
151,0097H,Present warning (lower)
152,0098H,Warning record 1 (upper)
153,0099H,Warning record 1 (lower)
154,009AH,Warning record 2 (upper)
155,009BH,Warning record 2 (lower)
156,009CH,Warning record 3 (upper)
157,009DH,Warning record 3 (lower)
158,009EH,Warning record 4 (upper)
159,009FH,Warning record 4 (lower)
160,00A0H,Warning record 5 (upper)
161,00A1H,Warning record 5 (lower)
162,00A2H,Warning record 6 (upper)
163,00A3H,Warning record 6 (lower)
164,00A4H,Warning record 7 (upper)
165,00A5H,Warning record 7 (lower)
166,00A6H,Warning record 8 (upper)
167,00A7H,Warning record 8 (lower)
168,00A8H,Warning record 9 (upper)
169,00A9H,Warning record 9 (lower)
170,00AAH,Warning record 10 (upper)
171,00ABH,Warning record 10 (lower)
172,00ACH,Communication error code (upper)
173,00ADH,Communication error code (lower)
174,00AEH,Communication error code record 1 (upper)
175,00AFH,Communication error code record 1 (lower)
176,00B0H,Communication error code record 2 (upper)
177,00B1H,Communication error code record 2 (lower)
178,00B2H,Communication error code record 3 (upper)
179,00B3H,Communication error code record 3 (lower)
180,00B4H,Communication error code record 4 (upper)
181,00B5H,Communication error code record 4 (lower)
182,00B6H,Communication error code record 5 (upper)
183,00B7H,Communication error code record 5 (lower)
184,00B8H,Communication error code record 6 (upper)
185,00B9H,Communication error code record 6 (lower)
186,00BAH,Communication error code record 7 (upper)
187,00BBH,Communication error code record 7 (lower)
188,00BCH,Communication error code record 8 (upper)
189,00BDH,Communication error code record 8 (lower)
190,00BEH,Communication error code record 9 (upper)
191,00BFH,Communication error code record 9 (lower)
192,00C0H,Communication error code record 10 (upper)
193,00C1H,Communication error code record 10 (lower)
194,00C2H,Present selected data No. (upper)
195,00C3H,Present selected data No. (lower)
196,00C4H,Present operation data No. (upper)
197,00C5H,Present operation data No. (lower)
198,00C6H,Command position (upper)
199,00C7H,Command position (lower)
200,00C8H,Command speed (upper)
201,00C9H,Command speed (lower)
204,00CCH,Actual position (upper)
205,00CDH,Actual position (lower)
206,00CEH,Actual speed (upper)
207,00CFH,Actual speed (lower)
210,00D2H,Remaining dwell time (upper)
211,00D3H,Remaining dwell time (lower)
212,00D4H,Direct I/O and electromagnetic brake status (upper)
213,00D5H,Direct I/O and electromagnetic brake status (lower)
384,0180H,Reset alarm (upper)
385,0181H,Reset alarm (lower)
388,0184H,Clear alarm records (upper)
389,0185H,Clear alarm records (lower)
390,0186H,Clear warning records (upper)
391,0187H,Clear warning records (lower)
392,0188H,Clear communication error records (upper)
393,0189H,Clear communication error records (lower)
394,018AH,P-PRESET execute (upper)
395,018BH,P-PRESET execute (lower)
396,018CH,Configuration (upper)
397,018DH,Configuration (lower)
398,018EH,"All data initialization (upper) * Resets the operation data and parameters saved in the non-volatile memory, to their defaults."
399,018FH,All data initialization (lower) *
400,0190H,Batch non-volatile memory read (upper)
401,0191H,Batch non-volatile memory read (lower)
402,0192H,Batch non-volatile memory write (upper)
403,0193H,Batch non-volatile memory write (lower)
512,0200H,STOP input action (upper)
513,0201H,STOP input action (lower)
514,0202H,Hardware overtravel (upper)
515,0203H,Hardware overtravel (lower)
516,0204H,Overtravel action (upper)
517,0205H,Overtravel action (lower)
518,0206H,END signal range (upper)
519,0207H,END signal range (lower)
520,0208H,Positioning complete output offset (upper)
521,0209H,Positioning complete output offset (lower)
522,020AH,AREA1 positive direction position (upper)
523,020BH,AREA1 positive direction position (lower)
524,020CH,AREA1 negative direction position (upper)
525,020DH,AREA1 negative direction position (lower)
526,020EH,AREA2 positive direction position (upper)
527,020FH,AREA2 positive direction position (lower)
528,0210H,AREA2 negative direction position (upper)
529,0211H,AREA2 negative direction position (lower)
530,0212H,AREA3 positive direction position (upper)
531,0213H,AREA3 positive direction position (lower)
532,0214H,AREA3 negative direction position (upper)
533,0215H,AREA3 negative direction position (lower)
534,0216H,Minimum ON time for MOVE output (upper)
535,0217H,Minimum ON time for MOVE output (lower)
536,0218H,LS contact configration (upper)
537,0219H,LS contact configration (lower)
538,021AH,HOMES logic level (upper)
539,021BH,HOMES logic level (lower)
540,021CH,SLIT logic level (upper)
541,021DH,SLIT logic level (lower)
576,0240H,RUN current (upper)
577,0241H,RUN current (lower)
578,0242H,STOP current (upper)
579,0243H,STOP current (lower)
580,0244H,Position loop gain (upper)
581,0245H,Position loop gain (lower)
582,0246H,Speed loop gain (upper)
583,0247H,Speed loop gain (lower)
584,0248H,Speed loop integral time constant (upper)
